PROJECT 095 GANTT CHART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://goo.gl/4UV8Cz,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"COMMUNICATIONS
REP",CHRIS YIP,RESEARCHER,ANJALI JAMMULAMADAKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PROJECT TITLE,SUSSEX CLUBHOUSE SPACE AUDIT,TEAM LEADER,LYDIA MESSIHA,SECRETARY,MARGARET CHEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PROJECT #,95,PROJECT MANAGER,MATTHEW TING,EDITOR,DORA LYU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Assigned but will be reviewed with everyone during meeting,,,,PHASE ONE,,,,,,,,,,,,,,,,,,,,PHASE TWO,,,,,,,,,,,,,,,PHASE THREE,,,,,,,,,,,,,,,PHASE THREE,,,,,,,,,,,,,,
TASK ID,TASK TITLE,TASK OWNER,DURATION OF TASK,Predecessors,PCT OF TASK COMPLETE,WEEK 3,,,,,WEEK 4,,,,,WEEK 5,,,,,WEEK 6,,,,,WEEK 7,,,,,WEEK 8,,,,,WEEK 9,,,,,WEEK 10,,,,,WEEK 11,,,,,WEEK 12,,,,,WEEK 13,,,,,WEEK 14,,,,,WEEK 15,,,,
,,,,,,M,T,W,R,F,M,T,W,R,F,M,T,W,R,F,M,T,W,R,F,M,T,W,R,F,M,T,W,R,F,M,T,W,R,F,M,T,W,R,F,M,T,W,R,F,M,T,W,R,F,M,T,W,R,F,M,T,W,R,F,M,T,W,R,F
1.0,Client Email,Everyone,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Team Charter,Everyone,5hr,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Client Meeting Plan,,6hr,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,Introductions,everyone,1 min,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2,Audience Assessment,"Researcher, Editor",2hr,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3,Client Questions,"Leader, Secretary",2hr,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4,Strategies,"Comm.rep, Proj manager",1 hr,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,Close of meeting,everyone,5 min,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Status report #1,Comm.rep,1 hr,3,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Project Requirements,,10hr,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1,Functions,Proj manager,2hr,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.2,Objectives,Leader,2hr,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.3,Constraints,Researcher,2hr,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4,Service Environment,Secretary,2hr,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,Stakeholders,Editor,2hr,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6,Problem Statement,Comm.rep,2hr,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7,Executive summary,Everyone,2hr,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.8,Introductions,Everyone,1hr,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Status report #2,Secretary,2hr,5,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
